#[1]xEvo [2]E [3]PT [4]PL [5]Nu [6]Nd [7]Ns [8]Tau
0.0635688 0.268539 0.133062 0.00241466 0.0531736 0.0607698 0 0.0207916
0.0651776 0.271324 0.134411 0.002502 0.0531736 0.0607698 0 0.0214637
0.0668272 0.274138 0.135773 0.00259241 0.0531736 0.0607698 0 0.0221581
0.0685185 0.276982 0.137148 0.002686 0.0531736 0.0607698 0 0.0228757
0.0702526 0.279856 0.138537 0.00278286 0.0531736 0.0607698 0 0.0236172
0.0720306 0.28276 0.139939 0.00288312 0.0531736 0.0607698 0 0.0243835
0.0738536 0.285695 0.141354 0.0029869 0.0531736 0.0607698 0 0.0251753
0.0757228 0.28866 0.142783 0.00309431 0.0531736 0.0607698 0 0.0259936
0.0776392 0.291656 0.144225 0.00320549 0.0531736 0.0607698 0 0.0268393
0.0796042 0.294684 0.145682 0.00332055 0.0531736 0.0607698 0 0.0277132
0.0816189 0.297742 0.147151 0.00343965 0.0531736 0.0607698 0 0.0286164
0.0836845 0.300833 0.148635 0.00356291 0.0531736 0.0607698 0 0.0295498
0.0858025 0.303955 0.150132 0.00369047 0.0531736 0.0607698 0 0.0305144
0.087974 0.307109 0.151643 0.00382249 0.0531736 0.0607698 0 0.0315113
0.0902005 0.310295 0.153168 0.00395911 0.0531736 0.0607698 0 0.0325417
0.0924834 0.313514 0.154707 0.0041005 0.0531736 0.0607698 0 0.0336066
0.094824 0.316765 0.156259 0.00424681 0.0531736 0.0607698 0 0.0347073
0.0972239 0.320049 0.157825 0.00439821 0.0531736 0.0607698 0 0.0358449
0.0996845 0.323366 0.159406 0.00455488 0.0531736 0.0607698 0 0.0370207
0.102207 0.326717 0.161 0.00471698 0.0531736 0.0607698 0 0.0382359
0.104794 0.330101 0.162608 0.00488471 0.0531736 0.0607698 0 0.0394921
0.107446 0.333518 0.16423 0.00505824 0.0531736 0.0607698 0 0.0407905
0.110166 0.33697 0.165866 0.00523778 0.0531736 0.0607698 0 0.0421326
0.112954 0.340455 0.167516 0.00542352 0.0531736 0.0607698 0 0.0435198
0.115813 0.343975 0.16918 0.00561567 0.0531736 0.0607698 0 0.0449538
0.118744 0.347529 0.170857 0.00581444 0.0531736 0.0607698 0 0.0464361
0.121749 0.351118 0.172549 0.00602004 0.0531736 0.0607698 0 0.0479684
0.12483 0.354742 0.174255 0.00623272 0.0531736 0.0607698 0 0.0495523
0.127989 0.3584 0.175974 0.00645268 0.0531736 0.0607698 0 0.0511897
0.131229 0.362094 0.177707 0.00668018 0.0531736 0.0607698 0 0.0528824
0.13455 0.365823 0.179454 0.00691546 0.0531736 0.0607698 0 0.0546323
0.137955 0.369587 0.181214 0.00715876 0.0531736 0.0607698 0 0.0564413
0.141447 0.373387 0.182988 0.00741036 0.0531736 0.0607698 0 0.0583114
0.145027 0.377222 0.184776 0.00767051 0.0531736 0.0607698 0 0.0602449
0.148697 0.381093 0.186577 0.00793949 0.0531736 0.0607698 0 0.0622438
0.15246 0.385001 0.188392 0.00821758 0.0531736 0.0607698 0 0.0643103
0.156319 0.388944 0.190219 0.00850508 0.0531736 0.0607698 0 0.0664469
0.160275 0.392923 0.192061 0.00880227 0.0531736 0.0607698 0 0.068656
0.164331 0.396939 0.193915 0.00910947 0.0531736 0.0607698 0 0.0709399
0.16849 0.400991 0.195782 0.00942699 0.0531736 0.0607698 0 0.0733014
0.172755 0.40508 0.197662 0.00975514 0.0531736 0.0607698 0 0.075743
0.177127 0.409205 0.199555 0.0100943 0.0531736 0.0607698 0 0.0782676
0.18161 0.413367 0.201461 0.0104447 0.0531736 0.0607698 0 0.080878
0.186206 0.417565 0.203379 0.0108068 0.0531736 0.0607698 0 0.0835772
0.190919 0.4218 0.205309 0.0111809 0.0531736 0.0607698 0 0.0863682
0.195751 0.426072 0.207252 0.0115674 0.0531736 0.0607698 0 0.0892543
0.200705 0.43038 0.209207 0.0119667 0.0531736 0.0607698 0 0.0922387
0.205784 0.434726 0.211173 0.0123791 0.0531736 0.0607698 0 0.0953247
0.210993 0.439108 0.213151 0.0128051 0.0531736 0.0607698 0 0.0985161
0.216333 0.443526 0.215141 0.0132449 0.0531736 0.0607698 0 0.101816
0.221808 0.447982 0.217141 0.0136992 0.0531736 0.0607698 0 0.105229
0.227421 0.452474 0.219153 0.0141682 0.0531736 0.0607698 0 0.108759
0.233177 0.457003 0.221175 0.0146524 0.0531736 0.0607698 0 0.112409
0.239078 0.461569 0.223208 0.0151523 0.0531736 0.0607698 0 0.116184
0.245129 0.466171 0.225251 0.0156683 0.0531736 0.0607698 0 0.120088
0.251333 0.470809 0.227304 0.0162008 0.0531736 0.0607698 0 0.124126
0.257694 0.475484 0.229367 0.0167504 0.0531736 0.0607698 0 0.128302
0.264216 0.480195 0.231439 0.0173174 0.0531736 0.0607698 0 0.132622
0.270903 0.484941 0.233519 0.0179025 0.0531736 0.0607698 0 0.137089
0.277759 0.489724 0.235609 0.0185061 0.0531736 0.0607698 0 0.14171
0.284789 0.494543 0.237707 0.0191286 0.0531736 0.0607698 0 0.14649
0.291996 0.499396 0.239813 0.0197707 0.0531736 0.0607698 0 0.151434
0.299386 0.504286 0.241926 0.0204329 0.0531736 0.0607698 0 0.156548
0.306964 0.50921 0.244047 0.0211156 0.0531736 0.0607698 0 0.161838
0.314732 0.514169 0.246175 0.0218195 0.0531736 0.0607698 0 0.16731
0.322698 0.519162 0.248309 0.022545 0.0531736 0.0607698 0 0.172971
0.330865 0.52419 0.250449 0.0232928 0.0531736 0.0607698 0 0.178827
0.339239 0.529251 0.252594 0.0240634 0.0531736 0.0607698 0 0.184886
0.347824 0.534347 0.254745 0.0248573 0.0531736 0.0607698 0 0.191153
0.356627 0.539475 0.2569 0.0256753 0.0531736 0.0607698 0 0.197637
0.365653 0.544636 0.259059 0.0265178 0.0531736 0.0607698 0 0.204346
0.374907 0.549829 0.261222 0.0273854 0.0531736 0.0607698 0 0.211287
0.384396 0.555055 0.263388 0.0282788 0.0531736 0.0607698 0 0.218468
0.394124 0.560312 0.265556 0.0291986 0.0531736 0.0607698 0 0.225898
0.404099 0.565599 0.267727 0.0301454 0.0531736 0.0607698 0 0.233585
0.414326 0.570918 0.269899 0.0311197 0.0531736 0.0607698 0 0.24154
0.424813 0.576266 0.272072 0.0321223 0.0531736 0.0607698 0 0.249771
0.435564 0.581644 0.274245 0.0331538 0.0531736 0.0607698 0 0.258288
0.446588 0.58705 0.276418 0.0342147 0.0531736 0.0607698 0 0.267102
0.45789 0.592485 0.278589 0.0353058 0.0531736 0.0607698 0 0.276222
0.469479 0.597947 0.28076 0.0364275 0.0531736 0.0607698 0 0.285661
0.481361 0.603436 0.282927 0.0375807 0.0531736 0.0607698 0 0.295429
0.493543 0.608951 0.285092 0.0387659 0.0531736 0.0607698 0 0.305537
0.506034 0.614491 0.287254 0.0399837 0.0531736 0.0607698 0 0.315999
0.518841 0.620056 0.289411 0.0412347 0.0531736 0.0607698 0 0.326827
0.531972 0.625645 0.291563 0.0425196 0.0531736 0.0607698 0 0.338034
0.545436 0.631257 0.293709 0.0438391 0.0531736 0.0607698 0 0.349634
0.55924 0.636891 0.295849 0.0451936 0.0531736 0.0607698 0 0.36164
0.573394 0.642547 0.297981 0.0465838 0.0531736 0.0607698 0 0.374068
0.587906 0.648222 0.300106 0.0480103 0.0531736 0.0607698 0 0.386932
0.602785 0.653917 0.302222 0.0494737 0.0531736 0.0607698 0 0.400249
0.618041 0.659631 0.304328 0.0509746 0.0531736 0.0607698 0 0.414034
0.633682 0.665362 0.306424 0.0525134 0.0531736 0.0607698 0 0.428305
0.64972 0.671109 0.308509 0.0540908 0.0531736 0.0607698 0 0.443079
0.666164 0.676872 0.310582 0.0557072 0.0531736 0.0607698 0 0.458374
0.683023 0.682648 0.312643 0.0573631 0.0531736 0.0607698 0 0.47421
0.70031 0.688438 0.314689 0.0590591 0.0531736 0.0607698 0 0.490605
0.718034 0.694239 0.316722 0.0607956 0.0531736 0.0607698 0 0.507581
0.736206 0.700052 0.318739 0.062573 0.0531736 0.0607698 0 0.525159
0.754839 0.705873 0.320741 0.0643918 0.0531736 0.0607698 0 0.54336
0.773943 0.711703 0.322725 0.0662522 0.0531736 0.0607698 0 0.562207
0.79353 0.717539 0.324692 0.0681546 0.0531736 0.0607698 0 0.581723
0.813614 0.723382 0.326641 0.0700995 0.0531736 0.0607698 0 0.601934
0.834205 0.729228 0.32857 0.0720869 0.0531736 0.0607698 0 0.622865
0.855318 0.735077 0.33048 0.0741172 0.0531736 0.0607698 0 0.644542
0.876965 0.740928 0.332368 0.0761906 0.0531736 0.0607698 0 0.666992
0.89916 0.746778 0.334235 0.0783072 0.0531736 0.0607698 0 0.690244
0.921916 0.752627 0.33608 0.0804672 0.0531736 0.0607698 0 0.714328
0.945249 0.758473 0.337901 0.0826705 0.0531736 0.0607698 0 0.739274
0.969172 0.764315 0.339699 0.0849172 0.0531736 0.0607698 0 0.765113
0.9937 0.77015 0.341471 0.0872074 0.0531736 0.0607698 0 0.79188
1.01868 0.775939 0.343207 0.089525 0.0531736 0.0607698 0 0.819418
1.04368 0.781584 0.344877 0.0918295 0.0531736 0.0607698 0 0.847259
1.06868 0.787086 0.346484 0.0941185 0.0531736 0.0607698 0 0.875379
1.09368 0.79245 0.348029 0.0963915 0.0531736 0.0607698 0 0.903774
1.11868 0.797681 0.349516 0.0986483 0.0531736 0.0607698 0 0.932441
1.14368 0.802785 0.350948 0.100889 0.0531736 0.0607698 0 0.961377
1.16868 0.807766 0.352327 0.103112 0.0531736 0.0607698 0 0.99058
1.19368 0.812629 0.353655 0.105318 0.0531736 0.0607698 0 1.02005
1.21868 0.817377 0.354935 0.107507 0.0531736 0.0607698 0 1.04978
1.24368 0.822015 0.356168 0.109678 0.0531736 0.0607698 0 1.07977
1.26868 0.826547 0.357357 0.111832 0.0531736 0.0607698 0 1.11001
1.29368 0.830976 0.358504 0.113968 0.0531736 0.0607698 0 1.14052
1.31868 0.835305 0.35961 0.116086 0.0531736 0.0607698 0 1.17127
1.34368 0.839539 0.360677 0.118186 0.0531736 0.0607698 0 1.20228
1.36868 0.843679 0.361706 0.120267 0.0531736 0.0607698 0 1.23353
1.39368 0.84773 0.3627 0.122331 0.0531736 0.0607698 0 1.26504
1.41868 0.851693 0.363659 0.124376 0.0531736 0.0607698 0 1.29678
1.44368 0.855572 0.364585 0.126402 0.0531736 0.0607698 0 1.32877
1.46868 0.85937 0.365479 0.128411 0.0531736 0.0607698 0 1.36101
1.49368 0.863088 0.366344 0.130401 0.0531736 0.0607698 0 1.39348
1.51868 0.866729 0.367178 0.132372 0.0531736 0.0607698 0 1.42619
1.54368 0.870296 0.367985 0.134326 0.0531736 0.0607698 0 1.45914
1.56868 0.87379 0.368765 0.136261 0.0531736 0.0607698 0 1.49232
1.59368 0.877214 0.369519 0.138177 0.0531736 0.0607698 0 1.52573
1.61868 0.88057 0.370247 0.140075 0.0531736 0.0607698 0 1.55938
1.64368 0.88386 0.370952 0.141955 0.0531736 0.0607698 0 1.59325
1.66868 0.887085 0.371634 0.143817 0.0531736 0.0607698 0 1.62736
1.69368 0.890248 0.372293 0.145661 0.0531736 0.0607698 0 1.66169
1.71868 0.89335 0.372931 0.147487 0.0531736 0.0607698 0 1.69624
1.74368 0.896393 0.373549 0.149295 0.0531736 0.0607698 0 1.73102
1.76868 0.899378 0.374146 0.151085 0.0531736 0.0607698 0 1.76603
1.79368 0.902307 0.374725 0.152858 0.0531736 0.0607698 0 1.80125
1.81868 0.905182 0.375285 0.154612 0.0531736 0.0607698 0 1.8367
1.84368 0.908004 0.375827 0.15635 0.0531736 0.0607698 0 1.87236
1.86868 0.910774 0.376352 0.158069 0.0531736 0.0607698 0 1.90824
1.89368 0.913494 0.376861 0.159772 0.0531736 0.0607698 0 1.94434
1.91868 0.916165 0.377354 0.161457 0.0531736 0.0607698 0 1.98065
1.94368 0.918788 0.377831 0.163125 0.0531736 0.0607698 0 2.01718
1.96868 0.921365 0.378294 0.164777 0.0531736 0.0607698 0 2.05392
1.99368 0.923896 0.378742 0.166411 0.0531736 0.0607698 0 2.09087
2.01868 0.926383 0.379177 0.168029 0.0531736 0.0607698 0 2.12803
2.04368 0.928827 0.379598 0.16963 0.0531736 0.0607698 0 2.1654
2.06868 0.931229 0.380007 0.171215 0.0531736 0.0607698 0 2.20298
2.09368 0.933589 0.380403 0.172783 0.0531736 0.0607698 0 2.24077
2.11868 0.93591 0.380787 0.174336 0.0531736 0.0607698 0 2.27876
2.14368 0.938192 0.38116 0.175872 0.0531736 0.0607698 0 2.31696
2.16868 0.940435 0.381521 0.177393 0.0531736 0.0607698 0 2.35536
2.19368 0.942641 0.381872 0.178898 0.0531736 0.0607698 0 2.39396
2.21868 0.944811 0.382212 0.180387 0.0531736 0.0607698 0 2.43277
2.24368 0.946946 0.382542 0.181861 0.0531736 0.0607698 0 2.47178
2.26868 0.949045 0.382863 0.18332 0.0531736 0.0607698 0 2.51098
2.29368 0.951111 0.383174 0.184763 0.0531736 0.0607698 0 2.55039
2.31868 0.953143 0.383476 0.186192 0.0531736 0.0607698 0 2.58999
2.34368 0.955144 0.383769 0.187606 0.0531736 0.0607698 0 2.62979
2.36868 0.957112 0.384054 0.189005 0.0531736 0.0607698 0 2.66979
2.39368 0.95905 0.38433 0.19039 0.0531736 0.0607698 0 2.70998
2.41868 0.960957 0.384599 0.19176 0.0531736 0.0607698 0 2.75037
2.44368 0.962835 0.384859 0.193116 0.0531736 0.0607698 0 2.79095
2.46868 0.964684 0.385113 0.194458 0.0531736 0.0607698 0 2.83172
2.49368 0.966504 0.385359 0.195786 0.0531736 0.0607698 0 2.87269
2.51868 0.968297 0.385598 0.1971 0.0531736 0.0607698 0 2.91384
2.54368 0.970062 0.385831 0.198401 0.0531736 0.0607698 0 2.95519
2.56868 0.971802 0.386057 0.199688 0.0531736 0.0607698 0 2.99672
2.59368 0.973515 0.386277 0.200962 0.0531736 0.0607698 0 3.03845
2.61868 0.975203 0.38649 0.202222 0.0531736 0.0607698 0 3.08036
2.64368 0.976865 0.386698 0.20347 0.0531736 0.0607698 0 3.12246
