0 10 130.21 91.739
10 20 91.739 78.9002
20 30 78.9002 65.4915
30 40 65.4915 52.2107
40 50 52.2099 39.9339
50 60 39.9339 29.1336
60 70 29.1336 20.3619
70 80 20.3619 13.0507
80 90 13.0507 6.38596
90 100 6.38596 0.0318937
