#[1]xEvo [2]E [3]PT [4]PL [5]Nu [6]Nd [7]Ns [8]Tau
0.01 0.129155 0.0645775 0 0.00354491 0.00405132 0 0.00153013
0.0102531 0.130597 0.0652912 1.43413e-05 0.00354491 0.00405132 0 0.00158208
0.0105126 0.132054 0.0660128 2.87007e-05 0.00354491 0.00405132 0 0.00163566
0.0107786 0.133528 0.0667423 4.30926e-05 0.00354491 0.00405132 0 0.00169106
0.0110514 0.135017 0.0674798 5.75316e-05 0.00354491 0.00405132 0 0.00174834
0.0113311 0.136523 0.0682253 7.20328e-05 0.00354491 0.00405132 0 0.00180755
0.0116179 0.138045 0.0689791 8.66114e-05 0.00354491 0.00405132 0 0.00186878
0.0119119 0.139583 0.069741 0.000101283 0.00354491 0.00405132 0 0.00193209
0.0122134 0.141139 0.0705113 0.000116064 0.00354491 0.00405132 0 0.00199754
0.0125225 0.142711 0.07129 0.000130971 0.00354491 0.00405132 0 0.00206521
0.0128395 0.1443 0.0720772 0.00014602 0.00354491 0.00405132 0 0.00213518
0.0131644 0.145907 0.0728729 0.000161229 0.00354491 0.00405132 0 0.00220752
0.0134976 0.147531 0.0736773 0.000176615 0.00354491 0.00405132 0 0.00228231
0.0138392 0.149173 0.0744905 0.000192196 0.00354491 0.00405132 0 0.00235964
0.0141894 0.150833 0.0753125 0.000207991 0.00354491 0.00405132 0 0.00243959
0.0145486 0.152511 0.0761434 0.000224019 0.00354491 0.00405132 0 0.00252226
0.0149168 0.154207 0.0769833 0.000240299 0.00354491 0.00405132 0 0.00260773
0.0152943 0.155922 0.0778324 0.000256851 0.00354491 0.00405132 0 0.0026961
0.0156814 0.157655 0.0786906 0.000273695 0.00354491 0.00405132 0 0.00278747
0.0160782 0.159407 0.0795581 0.000290853 0.00354491 0.00405132 0 0.00288194
0.0164852 0.161178 0.0804349 0.000308345 0.00354491 0.00405132 0 0.00297962
0.0169024 0.162969 0.0813212 0.000326194 0.00354491 0.00405132 0 0.00308061
0.0173301 0.164779 0.082217 0.000344422 0.00354491 0.00405132 0 0.00318502
0.0177688 0.166608 0.0831225 0.000363052 0.00354491 0.00405132 0 0.00329298
0.0182185 0.168458 0.0840377 0.000382108 0.00354491 0.00405132 0 0.0034046
0.0186795 0.170327 0.0849628 0.000401614 0.00354491 0.00405132 0 0.00352001
0.0191523 0.172217 0.0858977 0.000421596 0.00354491 0.00405132 0 0.00363934
0.019637 0.174127 0.0868427 0.000442079 0.00354491 0.00405132 0 0.00376272
0.020134 0.176059 0.0877977 0.000463089 0.00354491 0.00405132 0 0.00389028
0.0206436 0.178011 0.088763 0.000484653 0.00354491 0.00405132 0 0.00402217
0.021166 0.179984 0.0897385 0.0005068 0.00354491 0.00405132 0 0.00415854
0.0217017 0.181978 0.0907244 0.000529557 0.00354491 0.00405132 0 0.00429954
0.022251 0.183995 0.0917208 0.000552954 0.00354491 0.00405132 0 0.00444533
0.0228141 0.186033 0.0927278 0.000577022 0.00354491 0.00405132 0 0.00459606
0.0233915 0.188093 0.0937454 0.000601792 0.00354491 0.00405132 0 0.00475192
0.0239835 0.190175 0.0947739 0.000627295 0.00354491 0.00405132 0 0.00491306
0.0245905 0.19228 0.0958131 0.000653565 0.00354491 0.00405132 0 0.00507967
0.0252129 0.194407 0.0968634 0.000680635 0.00354491 0.00405132 0 0.00525195
0.025851 0.196558 0.0979247 0.00070854 0.00354491 0.00405132 0 0.00543007
0.0265052 0.198732 0.0989971 0.000737317 0.00354491 0.00405132 0 0.00561424
0.027176 0.200929 0.100081 0.000767002 0.00354491 0.00405132 0 0.00580466
0.0278638 0.203149 0.101176 0.000797633 0.00354491 0.00405132 0 0.00600155
