#[1]xEvo [2]T [3]Muu [4]Mud [5]Mus [6]Tau [7]E
0.01 0.301237 0.0389894 0.0445375 0 0.00153013 0.129155
0.0102531 0.302061 0.0387873 0.0443058 0 0.00158208 0.130597
0.0105126 0.302905 0.0385725 0.0440609 0 0.00163566 0.132054
0.0107786 0.303751 0.0383591 0.0438174 0 0.00169106 0.133528
0.0110514 0.304599 0.0381468 0.0435753 0 0.00174834 0.135017
0.0113311 0.305449 0.0379358 0.0433346 0 0.00180755 0.136523
0.0116179 0.306301 0.037726 0.0430952 0 0.00186878 0.138045
0.0119119 0.307155 0.0375174 0.0428573 0 0.00193209 0.139583
0.0122134 0.308012 0.03731 0.0426207 0 0.00199754 0.141139
0.0125225 0.30887 0.0371038 0.0423855 0 0.00206521 0.142711
0.0128395 0.309731 0.0368988 0.0421516 0 0.00213518 0.1443
0.0131644 0.310593 0.036695 0.0419191 0 0.00220752 0.145907
0.0134976 0.311458 0.0364924 0.0416879 0 0.00228231 0.147531
0.0138392 0.312325 0.0362909 0.0414581 0 0.00235964 0.149173
0.0141894 0.313194 0.0360906 0.0412295 0 0.00243959 0.150833
0.0145486 0.314065 0.0358915 0.0410023 0 0.00252226 0.152511
0.0149168 0.314938 0.0356935 0.0407764 0 0.00260773 0.154207
0.0152943 0.315814 0.0354966 0.0405517 0 0.0026961 0.155922
0.0156814 0.316692 0.0353009 0.0403284 0 0.00278747 0.157655
0.0160782 0.317571 0.0351063 0.0401063 0 0.00288194 0.159407
0.0164852 0.318453 0.0349128 0.0398855 0 0.00297962 0.161178
0.0169024 0.319338 0.0347204 0.039666 0 0.00308061 0.162969
0.0173301 0.320224 0.0345291 0.0394477 0 0.00318502 0.164779
0.0177688 0.321113 0.034339 0.0392307 0 0.00329298 0.166608
0.0182185 0.322003 0.0341499 0.0390149 0 0.0034046 0.168458
0.0186795 0.322897 0.0339619 0.0388003 0 0.00352001 0.170327
0.0191523 0.323792 0.033775 0.038587 0 0.00363934 0.172217
0.019637 0.324689 0.0335891 0.0383749 0 0.00376272 0.174127
0.020134 0.325589 0.0334043 0.038164 0 0.00389028 0.176059
0.0206436 0.326491 0.0332206 0.0379543 0 0.00402217 0.178011
0.021166 0.327395 0.033038 0.0377458 0 0.00415854 0.179984
0.0217017 0.328301 0.0328564 0.0375385 0 0.00429954 0.181978
0.022251 0.32921 0.0326758 0.0373324 0 0.00444533 0.183995
0.0228141 0.330121 0.0324963 0.0371275 0 0.00459606 0.186033
0.0233915 0.331034 0.0323178 0.0369237 0 0.00475192 0.188093
0.0239835 0.331949 0.0321403 0.0367211 0 0.00491306 0.190175
0.0245905 0.332866 0.0319639 0.0365197 0 0.00507967 0.19228
0.0252129 0.333786 0.0317884 0.0363194 0 0.00525195 0.194407
0.025851 0.334708 0.031614 0.0361203 0 0.00543007 0.196558
0.0265052 0.335633 0.0314406 0.0359224 0 0.00561424 0.198732
0.027176 0.336559 0.0312682 0.0357255 0 0.00580466 0.200929
0.0278638 0.337488 0.0310968 0.0355298 0 0.00600155 0.203149
0.028569 0.338419 0.0309263 0.0353353 0 0.00620513 0.205394
0.0292921 0.339352 0.0307569 0.0351418 0 0.00641563 0.207663
0.0300334 0.340288 0.0305884 0.0349495 0 0.00663327 0.209956
0.0307935 0.341225 0.0304209 0.0347583 0 0.00685831 0.212274
0.0315729 0.342165 0.0302544 0.0345681 0 0.00709099 0.214616
0.0323719 0.343108 0.0300889 0.0343791 0 0.00733157 0.216984
0.0331912 0.344052 0.0299243 0.0341912 0 0.00758033 0.219377
0.0340312 0.344999 0.0297606 0.0340043 0 0.00783755 0.221795
0.0348925 0.345948 0.029598 0.0338186 0 0.0081035 0.22424
0.0357756 0.346899 0.0294362 0.0336339 0 0.0083785 0.22671
0.036681 0.347852 0.0292754 0.0334503 0 0.00866283 0.229207
0.0376094 0.348808 0.0291156 0.0332678 0 0.00895684 0.23173
0.0385612 0.349766 0.0289566 0.0330863 0 0.00926084 0.23428
0.0395372 0.350726 0.0287987 0.0329059 0 0.00957517 0.236858
0.0405378 0.351688 0.0286416 0.0327265 0 0.00990018 0.239462
0.0415638 0.352653 0.0284854 0.0325482 0 0.0102363 0.242094
0.0426157 0.35362 0.0283302 0.0323709 0 0.0105838 0.244754
0.0436942 0.354589 0.0281759 0.0321947 0 0.0109431 0.247442
0.0448001 0.35556 0.0280224 0.0320195 0 0.0113146 0.250158
0.0459339 0.356533 0.0278699 0.0318453 0 0.0116988 0.252903
0.0470965 0.357509 0.0277183 0.0316722 0 0.012096 0.255677
0.0482884 0.358487 0.0275676 0.0315001 0 0.0125068 0.25848
0.0495105 0.359467 0.0274178 0.0313289 0 0.0129315 0.261312
0.0507636 0.360449 0.0272688 0.0311588 0 0.0133707 0.264174
0.0520483 0.361433 0.0271208 0.0309898 0 0.0138248 0.267066
0.0533656 0.362419 0.0269736 0.0308217 0 0.0142944 0.269988
0.0547162 0.363408 0.0268273 0.0306546 0 0.0147799 0.27294
0.056101 0.364399 0.0266818 0.0304885 0 0.015282 0.275923
0.0575209 0.365391 0.0265373 0.0303234 0 0.0158012 0.278937
0.0589766 0.366386 0.0263936 0.0301592 0 0.0163381 0.281982
0.0604693 0.367383 0.0262507 0.0299961 0 0.0168932 0.285059
0.0619997 0.368382 0.0261088 0.0298339 0 0.0174673 0.288167
0.0635688 0.369384 0.0259676 0.0296728 0 0.0180609 0.291307
0.0651776 0.370387 0.0258274 0.0295125 0 0.0186747 0.29448
0.0668272 0.371392 0.0256879 0.0293533 0 0.0193095 0.297685
0.0685185 0.3724 0.0255493 0.029195 0 0.0199659 0.300923
0.0702526 0.373409 0.0254116 0.0290377 0 0.0206446 0.304193
0.0720306 0.37442 0.0252747 0.0288813 0 0.0213465 0.307497
0.0738536 0.375434 0.0251386 0.0287258 0 0.0220723 0.310835
0.0757228 0.376449 0.0250034 0.0285714 0 0.0228229 0.314206
0.0776392 0.377466 0.0248689 0.0284178 0 0.023599 0.317612
0.0796042 0.378486 0.0247353 0.0282652 0 0.0244017 0.321051
0.0816189 0.379507 0.0246026 0.0281136 0 0.0252317 0.324525
0.0836845 0.38053 0.0244706 0.0279628 0 0.02609 0.328034
0.0858025 0.381555 0.0243395 0.027813 0 0.0269776 0.331578
0.087974 0.382582 0.0242091 0.0276642 0 0.0278955 0.335157
0.0902005 0.383611 0.0240796 0.0275162 0 0.0288448 0.338772
0.0924834 0.384642 0.0239509 0.0273692 0 0.0298264 0.342423
0.094824 0.385674 0.023823 0.0272231 0 0.0308416 0.346109
0.0972239 0.386708 0.0236959 0.0270779 0 0.0318915 0.349832
0.0996845 0.387744 0.0235696 0.0269336 0 0.0329772 0.353591
0.102207 0.388782 0.0234441 0.0267902 0 0.0341 0.357387
0.104794 0.389821 0.0233193 0.0266477 0 0.0352612 0.36122
0.107446 0.390863 0.0231954 0.0265061 0 0.0364621 0.365089
0.110166 0.391905 0.0230723 0.0263655 0 0.037704 0.368997
0.112954 0.39295 0.0229499 0.0262257 0 0.0389884 0.372941
0.115813 0.393996 0.0228283 0.0260868 0 0.0403168 0.376924
0.118744 0.395044 0.0227075 0.0259488 0 0.0416906 0.380944
0.121749 0.396093 0.0225875 0.0258117 0 0.0431114 0.385003
0.12483 0.397143 0.0224683 0.0256755 0 0.0445808 0.3891
0.127989 0.398196 0.0223498 0.0255401 0 0.0461006 0.393235
0.131229 0.399249 0.0222321 0.0254057 0 0.0476724 0.39741
0.13455 0.400304 0.0221152 0.0252721 0 0.049298 0.401623
0.137955 0.401361 0.021999 0.0251394 0 0.0509794 0.405875
0.141447 0.402419 0.0218836 0.0250075 0 0.0527184 0.410166
0.145027 0.403478 0.021769 0.0248766 0 0.054517 0.414497
0.148697 0.404538 0.0216551 0.0247465 0 0.0563773 0.418867
0.15246 0.4056 0.021542 0.0246173 0 0.0583013 0.423277
0.156319 0.406662 0.0214296 0.0244889 0 0.0602915 0.427727
0.160275 0.407726 0.021318 0.0243614 0 0.0623499 0.432216
0.164331 0.408791 0.0212072 0.0242348 0 0.064479 0.436746
0.16849 0.409858 0.0210971 0.024109 0 0.0666812 0.441315
0.172755 0.410925 0.0209877 0.023984 0 0.0689591 0.445925
0.177127 0.411993 0.0208791 0.02386 0 0.0713153 0.450575
0.18161 0.413062 0.0207713 0.0237368 0 0.0737524 0.455266
0.186206 0.414132 0.0206642 0.0236144 0 0.0762734 0.459997
0.190919 0.415202 0.0205578 0.0234929 0 0.0788811 0.464768
0.195751 0.416274 0.0204522 0.0233722 0 0.0815786 0.46958
0.200705 0.417346 0.0203474 0.0232524 0 0.0843689 0.474433
0.205784 0.418419 0.0202432 0.0231334 0 0.0872553 0.479326
0.210993 0.419492 0.0201398 0.0230153 0 0.0902412 0.484259
0.216333 0.420566 0.0200372 0.022898 0 0.09333 0.489233
0.221808 0.42164 0.0199353 0.0227816 0 0.0965253 0.494248
0.227421 0.422715 0.0198341 0.022666 0 0.0998308 0.499303
0.233177 0.42379 0.0197336 0.0225512 0 0.10325 0.504398
0.239078 0.424866 0.0196339 0.0224373 0 0.106788 0.509534
0.245129 0.425942 0.0195349 0.0223242 0 0.110448 0.51471
0.251333 0.427017 0.0194367 0.0222119 0 0.114234 0.519926
0.257694 0.428093 0.0193392 0.0221005 0 0.118151 0.525182
0.264216 0.429169 0.0192424 0.0219899 0 0.122204 0.530477
0.270903 0.430245 0.0191463 0.0218802 0 0.126397 0.535813
0.277759 0.431321 0.019051 0.0217713 0 0.130735 0.541188
0.284789 0.432396 0.0189564 0.0216632 0 0.135223 0.546602
0.291996 0.433472 0.0188626 0.0215559 0 0.139867 0.552055
0.299386 0.434546 0.0187694 0.0214495 0 0.144672 0.557547
0.306964 0.435621 0.018677 0.0213439 0 0.149643 0.563078
0.314732 0.436695 0.0185853 0.0212392 0 0.154787 0.568647
0.322698 0.437768 0.0184943 0.0211352 0 0.16011 0.574253
0.330865 0.43884 0.0184041 0.0210321 0 0.165618 0.579898
0.339239 0.439912 0.0183146 0.0209298 0 0.171317 0.585579
0.347824 0.440983 0.0182258 0.0208284 0 0.177214 0.591298
