0.005 0.211432 
0.015 0.00138946 
0.025 0.00241152 
0.035 0.00295261 
0.045 0.00378763 
0.055 0.00482972 
0.065 0.00566474 
0.075 0.00616575 
0.085 0.00708092 
0.095 0.00776897 
0.105 0.00826998 
0.115 0.00829002 
0.125 0.00890459 
0.135 0.0093388 
0.145 0.00994669 
0.155 0.0101271 
0.165 0.00997341 
0.175 0.0103876 
0.185 0.0108351 
0.195 0.0108752 
0.205 0.0113161 
0.215 0.0111625 
0.225 0.0114163 
0.235 0.0112627 
0.245 0.0119708 
0.255 0.0116368 
0.265 0.0112627 
0.275 0.011276 
0.285 0.0116568 
0.295 0.0118104 
0.305 0.0115032 
0.315 0.0116301 
0.325 0.0116501 
0.335 0.0118372 
0.345 0.0116501 
0.355 0.0122313 
0.365 0.011403 
0.375 0.0111625 
0.385 0.0110222 
0.395 0.01157 
0.405 0.0111491 
0.415 0.0107416 
0.425 0.0111491 
0.435 0.0110356 
0.445 0.0107082 
0.455 0.0107349 
0.465 0.0100803 
0.475 0.0103208 
0.485 0.0110356 
0.495 0.0105546 
0.505 0.00963273 
0.515 0.00983981 
0.525 0.00982645 
0.535 0.00996005 
0.545 0.00964609 
0.555 0.00991997 
0.565 0.00977969 
0.575 0.00949244 
0.585 0.00887787 
0.595 0.00892463 
0.605 0.00907828 
0.615 0.00845703 
0.625 0.00871087 
0.635 0.00831006 
0.645 0.00845703 
0.655 0.00774893 
0.665 0.00804954 
0.675 0.0079293 
0.685 0.00747505 
0.695 0.0079293 
0.705 0.00723457 
0.715 0.00730805 
0.725 0.00723457 
0.735 0.0067536 
0.745 0.00690056 
0.755 0.00623255 
0.765 0.00631939 
0.775 0.00621251 
0.785 0.00535077 
0.795 0.0055779 
0.805 0.00551778 
0.815 0.00518377 
0.825 0.00510361 
0.835 0.00494997 
0.845 0.00490989 
0.855 0.00465604 
0.865 0.00430867 
0.875 0.00418175 
0.885 0.0043354 
0.895 0.00414167 
0.905 0.00392123 
0.915 0.00346698 
0.925 0.0034269 
0.935 0.00270545 
0.945 0.0025184 
0.955 0.0020842 
0.965 0.00155647 
0.975 0.00106214 
0.985 0.000427527 
