5 0.234272 0.000700812 0.495509 0.000795725 0.504163 0.000723659 0.515207 0.000676506 
15 0.29373 0.000828666 0.525084 0.000757248 0.53488 0.000697665 0.544283 0.000657849 
25 0.364798 0.000946031 0.562227 0.000728412 0.571421 0.000679982 0.574761 0.000646325 
35 0.428237 0.00103345 0.599714 0.000719531 0.59922 0.000675473 0.594146 0.000640608 
45 0.475494 0.00110002 0.629085 0.000712696 0.614853 0.000674193 0.599794 0.000640455 
55 0.467048 0.00117036 0.633854 0.000720705 0.608371 0.000683057 0.585816 0.000655387 
65 0.394537 0.00125775 0.614821 0.000738489 0.588575 0.00069927 0.567583 0.000670548 
75 0.279127 0.00132651 0.595967 0.000749852 0.575647 0.000710381 0.561269 0.000678013 
85 0.147306 0.00134625 0.583581 0.000752945 0.57212 0.000705414 0.563335 0.00067167 
95 0.0301934 0.00129777 0.584036 0.000752574 0.575594 0.000702187 0.568007 0.000664173 
