#[1]xEvo [2]T [3]Muu [4]Mud [5]Mus [6]Tau [7]E
0.01 0.272651 0.393689 0.433672 0 0.00177697 0.129155
0.0102531 0.273815 0.391637 0.431662 0 0.0018331 0.130499
0.0105126 0.274983 0.389579 0.429566 0 0.00189102 0.131859
0.0107786 0.276148 0.387531 0.427477 0 0.00195084 0.133235
0.0110514 0.277311 0.385491 0.425395 0 0.00201264 0.134626
0.0113311 0.278472 0.38346 0.42332 0 0.00207647 0.136033
0.0116179 0.279631 0.381438 0.421252 0 0.00214241 0.137455
0.0119119 0.280788 0.379425 0.419191 0 0.00221053 0.138895
0.0122134 0.281943 0.377421 0.417138 0 0.00228089 0.14035
0.0125225 0.283096 0.375426 0.415091 0 0.00235358 0.141822
0.0128395 0.284246 0.373439 0.413052 0 0.00242866 0.14331
0.0131644 0.285395 0.371462 0.41102 0 0.00250623 0.144816
0.0134976 0.286543 0.369494 0.408996 0 0.00258636 0.146338
0.0138392 0.287688 0.367534 0.406978 0 0.00266915 0.147878
0.0141894 0.288832 0.365584 0.404968 0 0.00275467 0.149435
0.0145486 0.289974 0.363642 0.402966 0 0.00284302 0.15101
0.0149168 0.291115 0.36171 0.40097 0 0.0029343 0.152603
0.0152943 0.292254 0.359787 0.398983 0 0.00302861 0.154213
0.0156814 0.293392 0.357872 0.397002 0 0.00312604 0.155841
0.0160782 0.294528 0.355967 0.395029 0 0.0032267 0.157488
0.0164852 0.295663 0.354071 0.393064 0 0.00333069 0.159154
0.0169024 0.296796 0.352183 0.391106 0 0.00343814 0.160838
0.0173301 0.297929 0.350305 0.389155 0 0.00354916 0.162541
0.0177688 0.29906 0.348436 0.387212 0 0.00366386 0.164263
0.0182185 0.30019 0.346575 0.385277 0 0.00378237 0.166004
0.0186795 0.301318 0.344724 0.383349 0 0.00390482 0.167765
0.0191523 0.302446 0.342882 0.381428 0 0.00403134 0.169545
0.019637 0.303573 0.341048 0.379515 0 0.00416207 0.171345
0.020134 0.304698 0.339224 0.37761 0 0.00429714 0.173166
0.0206436 0.305823 0.337409 0.375713 0 0.00443672 0.175007
0.021166 0.306947 0.335602 0.373823 0 0.00458093 0.176868
0.0217017 0.30807 0.333805 0.371941 0 0.00472995 0.178749
0.022251 0.309192 0.332017 0.370066 0 0.00488394 0.180652
0.0228141 0.310314 0.330237 0.368199 0 0.00504305 0.182576
0.0233915 0.311434 0.328466 0.36634 0 0.00520747 0.184521
0.0239835 0.312554 0.326705 0.364488 0 0.00537738 0.186488
0.0245905 0.313674 0.324952 0.362644 0 0.00555295 0.188476
0.0252129 0.314793 0.323208 0.360808 0 0.00573438 0.190487
0.025851 0.315911 0.321473 0.35898 0 0.00592186 0.192519
0.0265052 0.317028 0.319747 0.357159 0 0.00611561 0.194574
0.027176 0.318146 0.31803 0.355346 0 0.00631583 0.196652
0.0278638 0.319262 0.316322 0.353541 0 0.00652273 0.198752
0.028569 0.320378 0.314622 0.351744 0 0.00673656 0.200876
0.0292921 0.321494 0.312932 0.349954 0 0.00695753 0.203023
0.0300334 0.32261 0.31125 0.348173 0 0.00718589 0.205193
0.0307935 0.323725 0.309577 0.346399 0 0.00742189 0.207387
0.0315729 0.32484 0.307912 0.344632 0 0.00766579 0.209605
0.0323719 0.325954 0.306257 0.342874 0 0.00791786 0.211848
0.0331912 0.327069 0.30461 0.341123 0 0.00817836 0.214114
0.0340312 0.328183 0.302972 0.339381 0 0.00844759 0.216406
0.0348925 0.329297 0.301343 0.337646 0 0.00872584 0.218722
0.0357756 0.330411 0.299722 0.335918 0 0.00901342 0.221064
0.036681 0.331524 0.29811 0.334199 0 0.00931064 0.223431
0.0376094 0.332638 0.296507 0.332488 0 0.00961783 0.225823
0.0385612 0.333751 0.294912 0.330784 0 0.00993532 0.228241
0.0395372 0.334865 0.293326 0.329088 0 0.0102635 0.230686
0.0405378 0.335978 0.291748 0.3274 0 0.0106026 0.233157
0.0415638 0.337092 0.290179 0.32572 0 0.0109532 0.235654
0.0426157 0.338205 0.288619 0.324048 0 0.0113155 0.238178
0.0436942 0.339319 0.287067 0.322384 0 0.01169 0.240729
0.0448001 0.340433 0.285524 0.320727 0 0.0120771 0.243308
0.0459339 0.341546 0.283989 0.319078 0 0.0124772 0.245914
0.0470965 0.34266 0.282463 0.317438 0 0.0128907 0.248548
0.0482884 0.343774 0.280945 0.315805 0 0.0133182 0.25121
0.0495105 0.344888 0.279436 0.31418 0 0.01376 0.2539
0.0507636 0.346003 0.277935 0.312562 0 0.0142167 0.256619
0.0520483 0.347117 0.276442 0.310953 0 0.0146888 0.259367
0.0533656 0.348232 0.274958 0.309352 0 0.0151768 0.262144
0.0547162 0.349347 0.273482 0.307758 0 0.0156812 0.26495
