#[1]xEvo [2]E [3]PT [4]PL [5]Nu [6]Nd [7]Ns [8]Tau
0.01 0.129155 0.0645775 0 0.0354491 0.0405132 0 0.00177697
0.0102531 0.130499 0.065243 1.3389e-05 0.0354491 0.0405132 0 0.0018331
0.0105126 0.131859 0.0659162 2.68329e-05 0.0354491 0.0405132 0 0.00189102
0.0107786 0.133235 0.0665971 4.03437e-05 0.0354491 0.0405132 0 0.00195084
0.0110514 0.134626 0.0672859 5.39335e-05 0.0354491 0.0405132 0 0.00201264
0.0113311 0.136033 0.0679825 6.76152e-05 0.0354491 0.0405132 0 0.00207647
0.0116179 0.137455 0.068687 8.14016e-05 0.0354491 0.0405132 0 0.00214241
0.0119119 0.138895 0.0693996 9.53063e-05 0.0354491 0.0405132 0 0.00221053
0.0122134 0.14035 0.0701203 0.000109343 0.0354491 0.0405132 0 0.00228089
0.0125225 0.141822 0.0708492 0.000123526 0.0354491 0.0405132 0 0.00235358
0.0128395 0.14331 0.0715863 0.00013787 0.0354491 0.0405132 0 0.00242866
0.0131644 0.144816 0.0723318 0.00015239 0.0354491 0.0405132 0 0.00250623
0.0134976 0.146338 0.0730857 0.000167102 0.0354491 0.0405132 0 0.00258636
0.0138392 0.147878 0.0738481 0.000182021 0.0354491 0.0405132 0 0.00266915
0.0141894 0.149435 0.0746191 0.000197164 0.0354491 0.0405132 0 0.00275467
0.0145486 0.15101 0.0753988 0.000212548 0.0354491 0.0405132 0 0.00284302
0.0149168 0.152603 0.0761872 0.000228191 0.0354491 0.0405132 0 0.0029343
0.0152943 0.154213 0.0769844 0.00024411 0.0354491 0.0405132 0 0.00302861
0.0156814 0.155841 0.0777906 0.000260323 0.0354491 0.0405132 0 0.00312604
0.0160782 0.157488 0.0786057 0.000276851 0.0354491 0.0405132 0 0.0032267
0.0164852 0.159154 0.07943 0.000293712 0.0354491 0.0405132 0 0.00333069
0.0169024 0.160838 0.0802634 0.000310926 0.0354491 0.0405132 0 0.00343814
0.0173301 0.162541 0.0811061 0.000328515 0.0354491 0.0405132 0 0.00354916
0.0177688 0.164263 0.0819581 0.000346499 0.0354491 0.0405132 0 0.00366386
0.0182185 0.166004 0.0828195 0.000364901 0.0354491 0.0405132 0 0.00378237
0.0186795 0.167765 0.0836905 0.000383742 0.0354491 0.0405132 0 0.00390482
0.0191523 0.169545 0.0845711 0.000403047 0.0354491 0.0405132 0 0.00403134
0.019637 0.171345 0.0854613 0.000422839 0.0354491 0.0405132 0 0.00416207
0.020134 0.173166 0.0863614 0.000443143 0.0354491 0.0405132 0 0.00429714
0.0206436 0.175007 0.0872713 0.000463984 0.0354491 0.0405132 0 0.00443672
0.021166 0.176868 0.0881911 0.000485388 0.0354491 0.0405132 0 0.00458093
0.0217017 0.178749 0.0891211 0.000507382 0.0354491 0.0405132 0 0.00472995
0.022251 0.180652 0.0900611 0.000529994 0.0354491 0.0405132 0 0.00488394
0.0228141 0.182576 0.0910114 0.000553253 0.0354491 0.0405132 0 0.00504305
0.0233915 0.184521 0.091972 0.000577187 0.0354491 0.0405132 0 0.00520747
0.0239835 0.186488 0.0929431 0.000601828 0.0354491 0.0405132 0 0.00537738
0.0245905 0.188476 0.0939246 0.000627205 0.0354491 0.0405132 0 0.00555295
0.0252129 0.190487 0.0949167 0.000653353 0.0354491 0.0405132 0 0.00573438
0.025851 0.192519 0.0959196 0.000680302 0.0354491 0.0405132 0 0.00592186
0.0265052 0.194574 0.0969332 0.000708089 0.0354491 0.0405132 0 0.00611561
0.027176 0.196652 0.0979576 0.000736747 0.0354491 0.0405132 0 0.00631583
0.0278638 0.198752 0.0989931 0.000766314 0.0354491 0.0405132 0 0.00652273
0.028569 0.200876 0.10004 0.000796826 0.0354491 0.0405132 0 0.00673656
0.0292921 0.203023 0.101097 0.000828323 0.0354491 0.0405132 0 0.00695753
0.0300334 0.205193 0.102166 0.000860844 0.0354491 0.0405132 0 0.00718589
0.0307935 0.207387 0.103246 0.00089443 0.0354491 0.0405132 0 0.00742189
0.0315729 0.209605 0.104338 0.000929124 0.0354491 0.0405132 0 0.00766579
0.0323719 0.211848 0.105441 0.00096497 0.0354491 0.0405132 0 0.00791786
0.0331912 0.214114 0.106556 0.00100201 0.0354491 0.0405132 0 0.00817836
0.0340312 0.216406 0.107683 0.0010403 0.0354491 0.0405132 0 0.00844759
0.0348925 0.218722 0.108821 0.00107987 0.0354491 0.0405132 0 0.00872584
0.0357756 0.221064 0.109971 0.00112079 0.0354491 0.0405132 0 0.00901342
0.036681 0.223431 0.111134 0.0011631 0.0354491 0.0405132 0 0.00931064
0.0376094 0.225823 0.112308 0.00120686 0.0354491 0.0405132 0 0.00961783
0.0385612 0.228241 0.113495 0.00125211 0.0354491 0.0405132 0 0.00993532
0.0395372 0.230686 0.114693 0.00129892 0.0354491 0.0405132 0 0.0102635
0.0405378 0.233157 0.115905 0.00134735 0.0354491 0.0405132 0 0.0106026
0.0415638 0.235654 0.117128 0.00139745 0.0354491 0.0405132 0 0.0109532
0.0426157 0.238178 0.118364 0.00144929 0.0354491 0.0405132 0 0.0113155
0.0436942 0.240729 0.119613 0.00150293 0.0354491 0.0405132 0 0.01169
0.0448001 0.243308 0.120875 0.00155843 0.0354491 0.0405132 0 0.0120771
0.0459339 0.245914 0.122149 0.00161587 0.0354491 0.0405132 0 0.0124772
0.0470965 0.248548 0.123436 0.00167532 0.0354491 0.0405132 0 0.0128907
0.0482884 0.25121 0.124737 0.00173685 0.0354491 0.0405132 0 0.0133182
0.0495105 0.2539 0.12605 0.00180053 0.0354491 0.0405132 0 0.01376
0.0507636 0.256619 0.127376 0.00186644 0.0354491 0.0405132 0 0.0142167
0.0520483 0.259367 0.128716 0.00193467 0.0354491 0.0405132 0 0.0146888
0.0533656 0.262144 0.130069 0.00200529 0.0354491 0.0405132 0 0.0151768
0.0547162 0.26495 0.131436 0.00207839 0.0354491 0.0405132 0 0.0156812
0.056101 0.267785 0.132816 0.00215407 0.0354491 0.0405132 0 0.0162026
0.0575209 0.270651 0.134209 0.0022324 0.0354491 0.0405132 0 0.0167416
0.0589766 0.273546 0.135616 0.00231349 0.0354491 0.0405132 0 0.0172987
0.0604693 0.276472 0.137037 0.00239744 0.0354491 0.0405132 0 0.0178747
0.0619997 0.279428 0.138472 0.00248434 0.0354491 0.0405132 0 0.01847
0.0635688 0.282415 0.13992 0.0025743 0.0354491 0.0405132 0 0.0190855
0.0651776 0.285433 0.141383 0.00266743 0.0354491 0.0405132 0 0.0197217
0.0668272 0.288482 0.142859 0.00276383 0.0354491 0.0405132 0 0.0203794
