#[1]xEvo [2]E [3]PT [4]PL [5]Nu [6]Nd [7]Ns [8]Tau
0.01 0.129155 0.0645775 0 0.0177245 0.0202566 0 0.00158304
0.0102531 0.130575 0.0652804 1.41283e-05 0.0177245 0.0202566 0 0.00163595
0.0105126 0.132011 0.0659912 2.82831e-05 0.0177245 0.0202566 0 0.00169052
0.0107786 0.133462 0.0667098 4.24781e-05 0.0177245 0.0202566 0 0.00174693
0.0110514 0.134929 0.0674363 5.67276e-05 0.0177245 0.0202566 0 0.00180524
0.0113311 0.136413 0.0681708 7.10459e-05 0.0177245 0.0202566 0 0.00186552
0.0116179 0.137912 0.0689135 8.54478e-05 0.0177245 0.0202566 0 0.00192782
0.0119119 0.139429 0.0696643 9.99485e-05 0.0177245 0.0202566 0 0.00199222
0.0122134 0.140961 0.0704234 0.000114564 0.0177245 0.0202566 0 0.00205879
0.0125225 0.142511 0.0711909 0.000129309 0.0177245 0.0202566 0 0.00212761
0.0128395 0.144078 0.0719668 0.000144201 0.0177245 0.0202566 0 0.00219874
0.0131644 0.145662 0.0727511 0.000159256 0.0177245 0.0202566 0 0.00227228
0.0134976 0.147263 0.0735441 0.000174491 0.0177245 0.0202566 0 0.00234829
0.0138392 0.148882 0.0743458 0.000189925 0.0177245 0.0202566 0 0.00242686
0.0141894 0.150518 0.0751562 0.000205574 0.0177245 0.0202566 0 0.00250809
0.0145486 0.152173 0.0759755 0.000221458 0.0177245 0.0202566 0 0.00259205
0.0149168 0.153845 0.0768038 0.000237596 0.0177245 0.0202566 0 0.00267885
0.0152943 0.155536 0.077641 0.000254006 0.0177245 0.0202566 0 0.00276857
0.0156814 0.157246 0.0784874 0.000270709 0.0177245 0.0202566 0 0.00286132
0.0160782 0.158974 0.079343 0.000287725 0.0177245 0.0202566 0 0.0029572
0.0164852 0.160721 0.0802079 0.000305075 0.0177245 0.0202566 0 0.00305631
0.0169024 0.162487 0.0810821 0.000322781 0.0177245 0.0202566 0 0.00315877
0.0173301 0.164273 0.0819659 0.000340865 0.0177245 0.0202566 0 0.00326469
0.0177688 0.166078 0.0828592 0.00035935 0.0177245 0.0202566 0 0.00337419
0.0182185 0.167902 0.0837621 0.000378258 0.0177245 0.0202566 0 0.00348738
0.0186795 0.169747 0.0846748 0.000397614 0.0177245 0.0202566 0 0.00360439
0.0191523 0.171612 0.0855973 0.000417442 0.0177245 0.0202566 0 0.00372535
0.019637 0.173497 0.0865298 0.000437769 0.0177245 0.0202566 0 0.0038504
0.020134 0.175403 0.0874723 0.000458618 0.0177245 0.0202566 0 0.00397968
0.0206436 0.17733 0.0884249 0.000480018 0.0177245 0.0202566 0 0.00411332
0.021166 0.179277 0.0893877 0.000501996 0.0177245 0.0202566 0 0.00425147
0.0217017 0.181246 0.0903608 0.000524579 0.0177245 0.0202566 0 0.0043943
0.022251 0.183236 0.0913443 0.000547798 0.0177245 0.0202566 0 0.00454195
0.0228141 0.185248 0.0923382 0.000571681 0.0177245 0.0202566 0 0.00469459
0.0233915 0.187282 0.0933428 0.00059626 0.0177245 0.0202566 0 0.00485239
0.0239835 0.189338 0.0943581 0.000621565 0.0177245 0.0202566 0 0.00501552
0.0245905 0.191416 0.0953841 0.000647631 0.0177245 0.0202566 0 0.00518417
0.0252129 0.193517 0.096421 0.00067449 0.0177245 0.0202566 0 0.00535853
0.025851 0.19564 0.0974689 0.000702176 0.0177245 0.0202566 0 0.00553878
0.0265052 0.197786 0.0985279 0.000730726 0.0177245 0.0202566 0 0.00572512
