#[1]xEvo [2]T [3]Muu [4]Mud [5]Mus [6]Tau [7]E
0.0757228 0.307055 0.561613 0.612483 0 0.0309818 0.254873
0.0776392 0.308577 0.558852 0.609733 0 0.0319276 0.25736
0.0796042 0.310094 0.5561 0.60699 0 0.0329043 0.259874
0.0816189 0.311606 0.553358 0.604255 0 0.0339131 0.262416
0.0836845 0.313112 0.550627 0.601528 0 0.0349549 0.264985
0.0858025 0.314613 0.547907 0.59881 0 0.0360308 0.267582
0.087974 0.316109 0.545196 0.596099 0 0.0371421 0.270208
0.0902005 0.3176 0.542497 0.593397 0 0.0382899 0.272862
0.0924834 0.319085 0.539808 0.590704 0 0.0394754 0.275544
0.094824 0.320565 0.537131 0.588019 0 0.0406998 0.278255
0.0972239 0.322041 0.534464 0.585343 0 0.0419646 0.280994
0.0996845 0.323511 0.531809 0.582676 0 0.0432711 0.283763
0.102207 0.324977 0.529165 0.580018 0 0.0446206 0.286561
0.104794 0.326437 0.526532 0.57737 0 0.0460146 0.289388
0.107446 0.327893 0.523911 0.57473 0 0.0474547 0.292244
0.110166 0.329344 0.521302 0.5721 0 0.0489423 0.295131
0.112954 0.33079 0.518704 0.56948 0 0.0504792 0.298047
0.115813 0.332232 0.516119 0.566869 0 0.0520668 0.300992
0.118744 0.333669 0.513545 0.564269 0 0.0537071 0.303968
0.121749 0.335101 0.510984 0.561678 0 0.0554017 0.306974
0.12483 0.336529 0.508435 0.559097 0 0.0571525 0.310011
0.127989 0.337953 0.505898 0.556526 0 0.0589614 0.313078
0.131229 0.339371 0.503373 0.553966 0 0.0608303 0.316176
0.13455 0.340786 0.500861 0.551416 0 0.0627614 0.319304
0.137955 0.342196 0.498361 0.548876 0 0.0647567 0.322463
0.141447 0.343602 0.495874 0.546347 0 0.0668185 0.325654
0.145027 0.345003 0.4934 0.543829 0 0.0689489 0.328875
0.148697 0.3464 0.490939 0.541321 0 0.0711503 0.332128
0.15246 0.347792 0.488491 0.538824 0 0.0734251 0.335412
0.156319 0.349181 0.486055 0.536339 0 0.0757759 0.338728
0.160275 0.350565 0.483633 0.533864 0 0.0782053 0.342075
0.164331 0.351945 0.481224 0.531401 0 0.0807158 0.345453
0.16849 0.353321 0.478828 0.528949 0 0.0833104 0.348864
0.172755 0.354692 0.476445 0.526508 0 0.0859918 0.352306
0.177127 0.35606 0.474076 0.524079 0 0.0887631 0.35578
0.18161 0.357423 0.47172 0.521661 0 0.0916273 0.359286
0.186206 0.358782 0.469377 0.519255 0 0.0945876 0.362823
0.190919 0.360137 0.467048 0.516861 0 0.0976474 0.366393
0.195751 0.361488 0.464733 0.514479 0 0.10081 0.369995
0.200705 0.362835 0.462431 0.512109 0 0.104079 0.373629
0.205784 0.364178 0.460144 0.50975 0 0.107458 0.377295
0.210993 0.365516 0.45787 0.507404 0 0.110951 0.380993
0.216333 0.366851 0.455609 0.50507 0 0.114561 0.384722
0.221808 0.368181 0.453363 0.502749 0 0.118294 0.388484
0.227421 0.369507 0.451131 0.50044 0 0.122152 0.392278
0.233177 0.370829 0.448913 0.498143 0 0.126141 0.396104
0.239078 0.372147 0.446709 0.495859 0 0.130265 0.399962
0.245129 0.373461 0.444519 0.493588 0 0.134528 0.403851
0.251333 0.374771 0.442343 0.491329 0 0.138936 0.407772
0.257694 0.376077 0.440182 0.489084 0 0.143493 0.411725
0.264216 0.377378 0.438035 0.486851 0 0.148205 0.41571
0.270903 0.378675 0.435902 0.484631 0 0.153077 0.419726
0.277759 0.379968 0.433784 0.482425 0 0.158114 0.423773
0.284789 0.381257 0.43168 0.480231 0 0.163323 0.427851
0.291996 0.382541 0.42959 0.478051 0 0.168709 0.43196
0.299386 0.383822 0.427516 0.475885 0 0.174279 0.4361
0.306964 0.385098 0.425456 0.473732 0 0.180038 0.44027
0.314732 0.386369 0.42341 0.471592 0 0.185994 0.444471
0.322698 0.387636 0.42138 0.469466 0 0.192153 0.448702
0.330865 0.388899 0.419364 0.467354 0 0.198523 0.452963
0.339239 0.390157 0.417363 0.465255 0 0.205111 0.457253
0.347824 0.391411 0.415376 0.463171 0 0.211924 0.461573
0.356627 0.39266 0.413405 0.4611 0 0.218971 0.465922
0.365653 0.393904 0.411449 0.459044 0 0.22626 0.470299
0.374907 0.395144 0.409508 0.457002 0 0.233799 0.474705
0.384396 0.39638 0.407581 0.454974 0 0.241597 0.479138
0.394124 0.39761 0.40567 0.45296 0 0.249663 0.483599
0.404099 0.398836 0.403774 0.450961 0 0.258007 0.488088
0.414326 0.400056 0.401893 0.448976 0 0.266638 0.492603
0.424813 0.401272 0.400028 0.447006 0 0.275567 0.497144
0.435564 0.402483 0.398178 0.44505 0 0.284804 0.501711
0.446588 0.403689 0.396343 0.44311 0 0.294361 0.506303
0.45789 0.404889 0.394523 0.441184 0 0.304248 0.51092
0.469479 0.406085 0.392719 0.439273 0 0.314477 0.515561
0.481361 0.407275 0.39093 0.437377 0 0.32506 0.520226
0.493543 0.40846 0.389157 0.435496 0 0.336011 0.524914
0.506034 0.409639 0.3874 0.43363 0 0.347342 0.529624
0.518841 0.410813 0.385658 0.43178 0 0.359067 0.534356
0.531972 0.411981 0.383931 0.429944 0 0.3712 0.539109
0.545436 0.413144 0.382221 0.428125 0 0.383755 0.543882
0.55924 0.414301 0.380526 0.42632 0 0.396747 0.548675
0.573394 0.415452 0.378846 0.424531 0 0.410194 0.553486
0.587906 0.416597 0.377183 0.422758 0 0.424109 0.558316
0.602785 0.417736 0.375536 0.421001 0 0.438512 0.563163
0.618041 0.418868 0.373904 0.419259 0 0.453418 0.568026
0.633682 0.419995 0.372288 0.417534 0 0.468847 0.572905
0.64972 0.421115 0.370689 0.415824 0 0.484817 0.577799
0.666164 0.422229 0.369105 0.41413 0 0.501348 0.582706
0.683023 0.423336 0.367537 0.412453 0 0.51846 0.587626
0.70031 0.424437 0.365986 0.410791 0 0.536173 0.592558
0.718034 0.425531 0.36445 0.409146 0 0.554511 0.5975
0.736206 0.426618 0.362931 0.407517 0 0.573496 0.602453
0.754839 0.427698 0.361428 0.405905 0 0.593151 0.607414
0.773943 0.428771 0.359941 0.404309 0 0.6135 0.612383
0.79353 0.429837 0.35847 0.40273 0 0.63457 0.617358
0.813614 0.430896 0.357016 0.401167 0 0.656386 0.622338
0.834205 0.431947 0.355578 0.39962 0 0.678975 0.627323
0.855318 0.43299 0.354156 0.398091 0 0.702367 0.632311
0.876965 0.434026 0.352751 0.396578 0 0.72659 0.637301
0.89916 0.435054 0.351362 0.395083 0 0.751675 0.642291
0.921916 0.436075 0.34999 0.393604 0 0.777653 0.647281
0.945249 0.437087 0.348634 0.392142 0 0.804558 0.652269
0.969172 0.438091 0.347294 0.390697 0 0.832424 0.657254
0.9937 0.439087 0.345971 0.389269 0 0.861286 0.662234
1.01868 0.440068 0.344673 0.387867 0 0.890976 0.667175
1.04368 0.441019 0.343421 0.386514 0 0.92099 0.671993
1.06868 0.441939 0.342213 0.385209 0 0.9513 0.67669
1.09368 0.44283 0.341048 0.383948 0 0.981904 0.68127
1.11868 0.443694 0.339923 0.382731 0 1.0128 0.685737
1.14368 0.444531 0.338835 0.381554 0 1.04398 0.690096
1.16868 0.445344 0.337784 0.380416 0 1.07545 0.69435
1.19368 0.446133 0.336767 0.379315 0 1.1072 0.698503
1.21868 0.446899 0.335783 0.378248 0 1.13922 0.702559
1.24368 0.447644 0.33483 0.377215 0 1.17153 0.706522
1.26868 0.448367 0.333906 0.376213 0 1.20411 0.710393
1.29368 0.449071 0.333011 0.375242 0 1.23697 0.714178
1.31868 0.449755 0.332142 0.3743 0 1.27009 0.717877
1.34368 0.450421 0.331299 0.373385 0 1.30348 0.721495
1.36868 0.45107 0.330481 0.372497 0 1.33714 0.725034
1.39368 0.451701 0.329687 0.371634 0 1.37106 0.728496
1.41868 0.452317 0.328915 0.370795 0 1.40525 0.731884
1.44368 0.452916 0.328164 0.36998 0 1.43969 0.7352
1.46868 0.453501 0.327435 0.369186 0 1.47439 0.738446
1.49368 0.454071 0.326725 0.368415 0 1.50935 0.741625
1.51868 0.454627 0.326034 0.367663 0 1.54456 0.744739
1.54368 0.45517 0.325362 0.366932 0 1.58003 0.747788
1.56868 0.4557 0.324707 0.36622 0 1.61575 0.750776
1.59368 0.456217 0.324069 0.365525 0 1.65171 0.753705
1.61868 0.456722 0.323448 0.364849 0 1.68792 0.756575
1.64368 0.457215 0.322842 0.364189 0 1.72438 0.759388
1.66868 0.457698 0.322251 0.363546 0 1.76109 0.762147
1.69368 0.458169 0.321675 0.362918 0 1.79803 0.764852
1.71868 0.45863 0.321113 0.362306 0 1.83522 0.767506
1.74368 0.45908 0.320564 0.361708 0 1.87265 0.770109
1.76868 0.459521 0.320029 0.361124 0 1.91032 0.772662
1.79368 0.459952 0.319506 0.360554 0 1.94822 0.775169
1.81868 0.460374 0.318995 0.359997 0 1.98636 0.777628
1.84368 0.460787 0.318497 0.359453 0 2.02473 0.780043
1.86868 0.461191 0.318009 0.358921 0 2.06334 0.782413
1.89368 0.461587 0.317533 0.358401 0 2.10218 0.78474
1.91868 0.461975 0.317067 0.357893 0 2.14124 0.787026
1.94368 0.462354 0.316611 0.357396 0 2.18054 0.789271
1.96868 0.462726 0.316165 0.35691 0 2.22007 0.791476
1.99368 0.463091 0.31573 0.356434 0 2.25982 0.793642
2.01868 0.463448 0.315303 0.355968 0 2.29979 0.79577
2.04368 0.463799 0.314885 0.355512 0 2.33999 0.797862
2.06868 0.464142 0.314477 0.355065 0 2.38042 0.799918
2.09368 0.464479 0.314076 0.354628 0 2.42106 0.801939
2.11868 0.464809 0.313685 0.3542 0 2.46193 0.803925
